time, fast, fast1, slow, tLine, macd, signalLine, longBool, shorBool, longFlag, shortFlag, enterFlag, entryFlag, exitFlag, askPrice, bidPrice, lastPrice, midPrice, portfolioValue, positionValue, cash 
1669993401.0, 403.17, 403.19, 404.2, 403.2, -1.16, -0.69, False, False, False, True, False, True, False, 403.14, 403.12, 403.11, 403.13, 298672.92, 0.0, 297802.35
1669993540.0, 403.07, 403.08, 404.08, 403.06, -1.24, -0.8, False, False, False, False, False, False, False, 403.06, 403.05, 403.07, 403.06, 298676.39, 89488.2, 297814.7
1669993541.0, 403.08, 403.09, 404.09, 403.07, -1.24, -0.8, False, False, False, True, False, True, False, 403.07, 403.06, 403.07, 403.06, 298684.16, 0.0, 297813.59
1669993669.0, 403.16, 403.08, 404.03, 403.21, -1.21, -0.8, False, False, False, False, False, False, False, 403.62, 403.6, 403.6, 403.61, 298686.3, 89480.65, 297697.18
1669994348.0, 403.9, 403.91, 404.06, 403.97, -1.02, -0.86, False, False, False, True, False, True, False, 403.84, 403.83, 403.85, 403.83, 298566.64, 0.0, 297696.07
1669994367.0, 403.91, 403.91, 404.07, 403.94, -1.04, -0.87, False, False, False, False, False, False, False, 403.92, 403.91, 403.91, 403.92, 298556.79, 89659.14, 297675.12
1669995747.0, 404.12, 404.09, 404.11, 404.13, -0.54, -0.71, False, False, True, False, False, True, False, 404.25, 404.23, 404.2, 404.24, 298544.58, 0.0, 297674.01
1669996121.0, 404.3, 404.31, 404.17, 404.38, -0.47, -0.66, False, False, False, False, False, False, False, 404.3, 404.28, 404.3, 404.29, 298556.13, 8894.6, 297685.56
1669996135.0, 404.32, 404.31, 404.18, 404.41, -0.47, -0.66, False, False, True, False, False, True, False, 404.42, 404.41, 404.4, 404.42, 298555.82, 0.0, 297685.25
1669996263.0, 404.35, 404.35, 404.19, 404.4, -0.4, -0.61, False, False, False, False, False, False, False, 404.36, 404.34, 404.35, 404.35, 298553.39, 89375.49, 297668.67000000004
1669996315.0, 404.36, 404.35, 404.2, 404.43, -0.39, -0.61, False, False, True, False, False, True, False, 404.49, 404.48, 404.46, 404.49, 298535.17, 0.0, 297664.6
1669996550.0, 404.55, 404.56, 404.27, 404.63, -0.3, -0.55, False, False, False, False, False, False, False, 404.54, 404.52, 404.53, 404.53, 298541.93, 0.0, 297671.36
