time, fast, fast1, slow, tLine, macd, signalLine, longBool, shortBool, longFlag, shortFlag, enterFlag, entryFlag, exitFlag, askPrice, bidPrice, lastPrice, midPrice, portfolioValue, positionValue, cash 
1670945100.0, 406.49, 406.62, 406.51, 406.17, -0.68, -0.38, False, False, False, True, False, True, False, 405.79, 405.79, 405.79, 405.79, 100000.0, 0.0, 100000.0
1670945700.0, 405.93, 405.89, 406.1, 405.81, -0.55, -0.64, False, False, False, False, False, False, False, 406.13, 406.13, 406.13, 406.13, 99982.34000000001, -19900.37, 119882.71
1670948700.0, 404.51, 404.57, 405.0, 404.43, -0.14, -0.03, False, False, False, True, False, True, False, 404.23, 404.23, 404.23, 404.23, 99981.34000000001, 0.0, 99981.34000000001
1670949060.0, 404.7, 404.65, 404.94, 404.81, 0.01, -0.05, False, False, False, False, False, False, False, 404.98, 404.98, 404.98, 404.98, 99943.59000000001, -19844.02, 119787.61000000002
1670949240.0, 405.04, 404.98, 405.0, 405.15, 0.18, 0.05, False, False, True, False, False, True, False, 405.33, 405.33, 405.33, 405.33, 99942.59000000001, 0.0, 99942.59000000001
1670949480.0, 405.08, 405.1, 405.01, 405.05, 0.2, 0.14, False, False, True, False, False, True, True, 404.99, 404.99, 404.99, 404.99, 99924.93000000002, 19844.510000000002, 80080.42000000001
1670949600.0, 405.07, 405.08, 405.02, 405.05, 0.16, 0.14, False, False, True, False, False, True, True, 405.14, 405.14, 405.14, 405.14, 99938.63, 39703.72, 60234.91000000001
1670949660.0, 404.98, 405.0, 404.99, 404.94, 0.09, 0.13, False, False, False, False, False, False, False, 404.93, 404.93, 404.93, 404.93, 99906.76000000001, 59524.71, 40382.05000000001
1670949900.0, 404.74, 404.77, 404.92, 404.75, -0.07, 0.04, False, False, False, True, False, True, False, 404.65, 404.65, 404.65, 404.65, 99905.76000000001, 0.0, 99905.76000000001
1670950980.0, 402.81, 402.8, 403.59, 402.65, -0.35, -0.47, False, False, False, False, False, False, False, 402.75, 402.75, 402.75, 402.75, 99997.86000000002, -19734.75, 119732.61000000002
1670951520.0, 402.13, 402.29, 403.15, 401.93, -0.5, -0.38, False, False, False, True, False, True, False, 401.31, 401.31, 401.31, 401.31, 99996.86000000002, 0.0, 99996.86000000002
1670953140.0, 400.38, 400.34, 401.34, 400.48, -0.29, -0.45, False, False, False, False, False, False, False, 400.68, 400.68, 400.68, 400.68, 100027.36000000002, -20034.0, 120061.36000000002
1670955480.0, 400.79, 400.68, 400.59, 401.0, 0.27, 0.13, False, False, True, False, False, True, False, 401.42, 401.42, 401.42, 401.42, 100026.36000000002, 0.0, 100026.36000000002
1670956560.0, 401.71, 401.71, 401.23, 401.73, 0.27, 0.35, False, False, False, False, False, False, False, 401.65, 401.65, 401.65, 401.65, 100036.86000000002, 20082.5, 79954.36000000002
1670957640.0, 401.25, 401.32, 401.28, 401.09, -0.09, 0.05, False, False, False, True, False, True, False, 400.84, 400.84, 400.84, 400.84, 100035.86000000002, 0.0, 100035.86000000002
1670957940.0, 401.32, 401.29, 401.28, 401.34, -0.05, -0.04, False, False, False, False, False, False, False, 401.38, 401.38, 401.38, 401.38, 100007.86000000002, -20069.0, 120076.86000000002
1670960580.0, 402.25, 402.17, 401.78, 402.47, 0.3, 0.18, False, False, True, False, False, True, False, 402.78, 402.78, 402.78, 402.78, 100006.86000000002, 0.0, 100006.86000000002
1670961120.0, 402.51, 402.53, 402.08, 402.51, 0.22, 0.28, False, False, False, False, False, False, False, 402.4, 402.4, 402.4, 402.4, 99986.86000000002, 20120.0, 79866.86000000002
1670961360.0, 401.91, 401.98, 401.96, 401.79, -0.11, 0.1, False, False, False, True, False, True, False, 401.49, 401.49, 401.49, 401.49, 99985.86000000002, 0.0, 99985.86000000002
1670962740.0, 400.89, 400.81, 401.15, 400.99, -0.1, -0.25, False, False, False, False, False, False, False, 401.39, 401.39, 401.39, 401.39, 99989.86000000002, -20069.5, 120059.36000000002
1670963100.0, 401.2, 401.13, 401.19, 401.32, 0.02, -0.08, False, False, True, False, False, True, False, 401.62, 401.62, 401.62, 401.62, 99988.86000000002, 0.0, 99988.86000000002
1670963520.0, 401.75, 401.65, 401.38, 402.01, 0.19, 0.06, False, False, False, False, False, False, False, 402.32, 402.32, 402.32, 402.32, 100022.86000000002, 20116.0, 79906.86000000002
