time, fast, slow, tLine, macd, signalLine, longBool, shortBool, enterFlag, entryFlag, askPrice, bidPrice, lastPrice, midPrice
1667996595.0, 382.27, 382.36, 382.27, 0.08, -0.03, False, False, False, False, 380.73, 380.68, 380.79, 380.71
1667996596.0, 382.27, 382.36, 382.27, 0.08, -0.03, False, False, False, False, 380.73, 380.68, 380.79, 380.71
1667996597.0, 382.27, 382.36, 382.27, 0.08, -0.03, False, False, False, False, 380.73, 380.68, 380.79, 380.71
1667996598.0, 382.26, 382.36, 382.26, 0.08, -0.03, False, False, False, False, 380.7, 380.65, 380.79, 380.67
1667996599.0, 382.25, 382.36, 382.25, 0.08, -0.03, False, False, False, False, 380.65, 380.61, 380.79, 380.63
1667996600.0, 382.25, 382.36, 382.25, 0.08, -0.03, False, False, False, False, 380.65, 380.61, 380.79, 380.63
1667996601.0, 382.25, 382.36, 382.25, 0.08, -0.03, False, False, False, False, 380.65, 380.6, 380.79, 380.62
1667996602.0, 382.25, 382.36, 382.25, 0.08, -0.03, False, False, False, False, 380.65, 380.6, 380.79, 380.62
1667996603.0, 382.25, 382.36, 382.25, 0.08, -0.03, False, False, False, False, 380.65, 380.6, 380.79, 380.62
1667996604.0, 382.25, 382.36, 382.25, 0.08, -0.03, False, False, False, False, 380.63, 380.58, 380.79, 380.61
1667996605.0, 382.25, 382.36, 382.25, 0.08, -0.03, False, False, False, False, 380.63, 380.58, 380.59, 380.61
1667996606.0, 382.25, 382.36, 382.25, 0.08, -0.03, False, False, False, False, 380.61, 380.56, 380.59, 380.59
1667996607.0, 382.25, 382.36, 382.25, 0.08, -0.03, False, False, False, False, 380.61, 380.56, 380.59, 380.59
1667996608.0, 382.25, 382.36, 382.25, 0.08, -0.03, False, False, False, False, 380.61, 380.56, 380.59, 380.59
1667996609.0, 382.25, 382.36, 382.25, 0.08, -0.03, False, False, False, False, 380.61, 380.56, 380.59, 380.59
1667996610.0, 382.25, 382.35, 382.25, 0.08, -0.03, False, False, False, False, 380.59, 380.54, 380.59, 380.56
1667996611.0, 382.24, 382.35, 382.24, 0.08, -0.03, False, False, False, False, 380.58, 380.54, 380.59, 380.56
1667996612.0, 382.25, 382.36, 382.25, 0.08, -0.03, False, False, False, False, 380.6, 380.53, 380.59, 380.56
1667996613.0, 382.25, 382.36, 382.25, 0.08, -0.03, False, False, False, False, 380.6, 380.53, 380.59, 380.56
1667996614.0, 382.25, 382.36, 382.25, 0.08, -0.03, False, False, False, False, 380.6, 380.55, 380.59, 380.58
1667996615.0, 382.24, 382.35, 382.24, 0.08, -0.03, False, False, False, False, 380.58, 380.53, 380.59, 380.55
1667996616.0, 382.25, 382.36, 382.25, 0.08, -0.03, False, False, False, False, 380.6, 380.55, 380.59, 380.58
1667996617.0, 382.25, 382.36, 382.25, 0.08, -0.03, False, False, False, False, 380.62, 380.56, 380.59, 380.59
1667996618.0, 382.25, 382.36, 382.25, 0.08, -0.03, False, False, False, False, 380.6, 380.55, 380.59, 380.58
1667996619.0, 382.25, 382.36, 382.25, 0.08, -0.03, False, False, False, False, 380.6, 380.54, 380.55, 380.57
1667996620.0, 382.24, 382.35, 382.24, 0.08, -0.03, False, False, False, False, 380.58, 380.53, 380.54, 380.55
1667996621.0, 382.24, 382.35, 382.24, 0.08, -0.03, False, False, False, False, 380.58, 380.52, 380.54, 380.55
1667996622.0, 382.25, 382.36, 382.25, 0.08, -0.03, False, False, False, False, 380.63, 380.58, 380.54, 380.61
1667996623.0, 382.25, 382.36, 382.25, 0.08, -0.03, False, False, False, False, 380.63, 380.58, 380.54, 380.61
1667996624.0, 382.25, 382.36, 382.25, 0.08, -0.03, False, False, False, False, 380.64, 380.59, 380.54, 380.62
1667996625.0, 382.25, 382.36, 382.25, 0.08, -0.03, False, False, False, False, 380.65, 380.6, 380.54, 380.62
1667996626.0, 382.26, 382.36, 382.26, 0.08, -0.03, False, False, False, False, 380.66, 380.6, 380.54, 380.63
1667996627.0, 382.25, 382.36, 382.25, 0.08, -0.03, False, False, False, False, 380.65, 380.6, 380.54, 380.62
1667996628.0, 382.25, 382.36, 382.25, 0.08, -0.03, False, False, False, False, 380.63, 380.58, 380.54, 380.61
1667996629.0, 382.25, 382.36, 382.25, 0.08, -0.03, False, False, False, False, 380.63, 380.58, 380.54, 380.61
1667996630.0, 382.25, 382.36, 382.25, 0.08, -0.03, False, False, False, False, 380.63, 380.58, 380.54, 380.61
