time, fast, fast1, slow, tLine, macd, signalLine, longBool, shorBool, longFlag, shortFlag, enterFlag, entryFlag, exitFlag, askPrice, bidPrice, lastPrice, midPrice, portfolioValue, positionValue, cash 
1671202800.0, 385.95, 385.97, 386.9, 385.97, -0.35, -0.44, False, False, False, False, False, False, False, 385.88, 385.86, 385.87, 385.87, 293931.74, 0.0, 293585.62
1671202801.0, 385.95, 385.97, 386.9, 385.97, -0.35, -0.44, False, False, False, False, False, False, False, 385.84, 385.83, 385.79, 385.83, 293931.74, 0.0, 293585.62
1671202802.0, 385.95, 385.97, 386.9, 385.97, -0.35, -0.44, False, False, False, False, False, False, False, 385.87, 385.85, 385.85, 385.86, 293931.74, 0.0, 293585.62
1671202803.0, 385.95, 385.97, 386.9, 385.97, -0.35, -0.44, False, False, False, False, False, False, False, 385.84, 385.82, 385.85, 385.83, 293931.74, 0.0, 293585.62
1671202804.0, 385.94, 385.97, 386.9, 385.96, -0.35, -0.44, False, False, False, False, False, False, False, 385.83, 385.82, 385.83, 385.82, 293931.74, 0.0, 293585.62
1671202806.0, 385.89, 385.93, 386.86, 385.91, -0.38, -0.43, False, False, False, False, False, False, False, 385.77, 385.75, 385.76, 385.76, 293931.74, 0.0, 293585.62
1671202807.0, 385.88, 385.93, 386.85, 385.9, -0.38, -0.43, False, False, False, False, False, False, False, 385.73, 385.7, 385.71, 385.72, 293931.74, 0.0, 293585.62
1671202808.0, 385.88, 385.93, 386.86, 385.91, -0.38, -0.43, False, False, False, False, False, False, False, 385.75, 385.73, 385.73, 385.74, 293931.74, 0.0, 293585.62
1671202809.0, 385.88, 385.93, 386.86, 385.91, -0.38, -0.43, False, False, False, False, False, False, False, 385.75, 385.73, 385.76, 385.74, 293931.74, 0.0, 293585.62
1671202810.0, 385.88, 385.93, 386.85, 385.9, -0.38, -0.43, False, False, False, False, False, False, False, 385.73, 385.7, 385.71, 385.72, 293931.74, 0.0, 293585.62
1671202811.0, 385.88, 385.93, 386.85, 385.9, -0.38, -0.43, False, False, False, False, False, False, False, 385.76, 385.74, 385.72, 385.75, 293931.74, 0.0, 293585.62
1671202812.0, 385.87, 385.93, 386.85, 385.89, -0.38, -0.43, False, False, False, False, False, False, False, 385.72, 385.71, 385.74, 385.72, 293931.74, 0.0, 293585.62
1671202813.0, 385.86, 385.93, 386.85, 385.88, -0.38, -0.43, False, False, False, False, False, False, False, 385.65, 385.63, 385.66, 385.64, 293931.74, 0.0, 293585.62
1671202814.0, 385.86, 385.93, 386.85, 385.87, -0.38, -0.43, False, False, False, False, False, False, False, 385.62, 385.6, 385.63, 385.61, 293931.74, 0.0, 293585.62
1671202815.0, 385.83, 385.9, 386.84, 385.83, -0.4, -0.43, False, False, False, False, False, False, False, 385.55, 385.53, 385.61, 385.54, 293931.74, 0.0, 293585.62
1671202816.0, 385.83, 385.9, 386.84, 385.83, -0.4, -0.43, False, False, False, False, False, False, False, 385.58, 385.56, 385.56, 385.57, 293931.74, 0.0, 293585.62
1671202818.0, 385.82, 385.9, 386.84, 385.82, -0.4, -0.43, False, False, False, False, False, False, False, 385.51, 385.49, 385.52, 385.5, 293931.74, 0.0, 293585.62
1671202819.0, 385.83, 385.9, 386.84, 385.83, -0.4, -0.43, False, False, False, False, False, False, False, 385.56, 385.55, 385.58, 385.56, 293931.74, 0.0, 293585.62
1671202820.0, 385.82, 385.9, 386.84, 385.81, -0.4, -0.43, False, False, False, False, False, False, False, 385.47, 385.45, 385.52, 385.46, 293931.74, 0.0, 293585.62
1671202821.0, 385.79, 385.89, 386.83, 385.77, -0.41, -0.43, False, False, False, False, False, False, False, 385.4, 385.39, 385.42, 385.39, 293931.74, 0.0, 293585.62
1671202822.0, 385.78, 385.89, 386.83, 385.76, -0.41, -0.43, False, False, False, False, False, False, False, 385.33, 385.31, 385.32, 385.32, 293931.74, 0.0, 293585.62
1671202823.0, 385.79, 385.89, 386.83, 385.76, -0.41, -0.43, False, False, False, False, False, False, False, 385.34, 385.33, 385.33, 385.33, 293931.74, 0.0, 293585.62
1671202824.0, 385.76, 385.89, 386.82, 385.72, -0.41, -0.43, False, False, False, False, False, False, False, 385.16, 385.15, 385.18, 385.15, 293931.74, 0.0, 293585.62
1671202825.0, 385.74, 385.85, 386.81, 385.69, -0.42, -0.44, False, False, False, False, False, False, False, 385.19, 385.17, 385.1, 385.18, 293931.74, 0.0, 293585.62
1671202826.0, 385.73, 385.85, 386.81, 385.68, -0.42, -0.44, False, False, False, False, False, False, False, 385.18, 385.16, 385.21, 385.17, 293931.74, 0.0, 293585.62
