time, fast, fast1, slow, tLine, macd, signalLine, longBool, shorBool, longFlag, shortFlag, enterFlag, entryFlag, exitFlag, askPrice, bidPrice, lastPrice, midPrice, portfolioValue, positionValue, cash 
1667831400.361773, 376.21, 375.96, 375.22, 376.21, 0.93, 0.71, False, False, True, False, False, True, False, 377.71, 377.71, 377.71, 377.71, 100000.0, 0.0, 100000.0
1667831880.361773, 376.61, 376.64, 375.7, 376.61, 1.06, 0.84, False, False, False, False, False, False, False, 376.41, 376.41, 376.41, 376.41, 99679.15000000001, 0.0, 99679.15000000001
1667832120.361773, 376.76, 376.72, 375.93, 376.76, 1.13, 0.9, False, False, True, False, False, True, False, 377.17, 377.17, 377.17, 377.17, 99679.15000000001, 0.0, 99679.15000000001
1667832540.361773, 376.74, 376.76, 376.14, 376.74, 1.12, 0.94, False, False, False, False, False, False, False, 376.47, 376.47, 376.47, 376.47, 99505.58, 0.0, 99505.58
1667833320.361773, 376.46, 376.42, 376.2, 376.46, 0.99, 0.98, False, False, True, False, False, True, False, 376.61, 376.61, 376.61, 376.61, 99505.58, 0.0, 99505.58
1667833980.361773, 376.94, 376.95, 376.53, 376.94, 1.03, 1.0, False, False, False, False, False, False, False, 376.99, 376.99, 376.99, 376.99, 99545.04, 0.0, 99545.04
1667834040.361773, 377.07, 377.02, 376.59, 377.07, 1.06, 1.0, False, False, True, False, False, True, False, 377.44, 377.44, 377.44, 377.44, 99545.04, 0.0, 99545.04
1667834520.361773, 377.41, 377.4, 376.85, 377.41, 1.11, 1.04, False, False, False, False, False, False, False, 377.38, 377.38, 377.38, 377.38, 99476.92, 0.0, 99476.92
1667835600.361773, 376.73, 376.78, 376.78, 376.73, 0.84, 0.99, False, False, False, True, False, True, False, 376.48, 376.48, 376.48, 376.48, 99476.92, 0.0, 99476.92
1667835780.361773, 376.83, 376.81, 376.82, 376.83, 0.83, 0.96, False, False, False, False, False, False, False, 376.98, 376.98, 376.98, 376.98, 99350.69000000002, 0.0, 99350.69000000002
1667835840.361773, 376.8, 376.82, 376.82, 376.8, 0.82, 0.95, False, False, False, True, False, True, False, 376.75, 376.75, 376.75, 376.75, 99350.69000000002, 0.0, 99350.69000000002
1667836320.361773, 377.03, 377.0, 376.91, 377.03, 0.81, 0.9, False, False, False, False, False, False, False, 377.26, 377.26, 377.26, 377.26, 99258.99000000002, 0.0, 99258.99000000002
1667839260.361773, 377.35, 377.44, 377.44, 377.35, 0.61, 0.74, False, False, False, True, False, True, False, 376.79, 376.79, 376.79, 376.79, 99258.99000000002, 0.0, 99258.99000000002
1667840220.361773, 376.64, 376.67, 376.97, 376.64, 0.3, 0.55, False, False, False, False, False, False, False, 376.47, 376.47, 376.47, 376.47, 99269.47000000003, 0.0, 99269.47000000003
1667840280.361773, 376.57, 376.62, 376.93, 376.57, 0.29, 0.55, False, False, False, True, False, True, False, 376.3, 376.3, 376.3, 376.3, 99269.47000000003, 0.0, 99269.47000000003
1667840880.361773, 376.43, 376.38, 376.73, 376.43, 0.17, 0.41, False, False, False, False, False, False, False, 376.72, 376.72, 376.72, 376.72, 99243.27000000005, 0.0, 99243.27000000005
1667841420.361773, 376.66, 376.69, 376.73, 376.66, 0.1, 0.31, False, False, False, True, False, True, False, 376.55, 376.55, 376.55, 376.55, 99243.27000000005, 0.0, 99243.27000000005
1667841900.361773, 376.9, 376.84, 376.82, 376.9, 0.13, 0.28, False, False, False, False, False, False, False, 377.23, 377.23, 377.23, 377.23, 99133.23000000007, 0.0, 99133.23000000007
1667843340.361773, 376.95, 376.98, 376.97, 376.95, 0.14, 0.21, False, False, False, True, False, True, False, 376.74, 376.74, 376.74, 376.74, 99133.23000000007, 0.0, 99133.23000000007
1667844000.361773, 376.89, 376.88, 376.91, 376.89, 0.13, 0.19, False, False, False, False, False, False, False, 377.0, 377.0, 377.0, 377.0, 99091.31000000008, 0.0, 99091.31000000008
1667844360.361773, 377.34, 377.29, 377.05, 377.34, 0.18, 0.17, False, False, True, False, False, True, False, 377.58, 377.58, 377.58, 377.58, 99091.31000000008, 0.0, 99091.31000000008
1667845140.361773, 377.58, 377.57, 377.28, 377.58, 0.2, 0.18, False, False, False, False, False, False, False, 377.65, 377.65, 377.65, 377.65, 99070.44000000009, 0.0, 99070.44000000009
1667845200.361773, 377.58, 377.56, 377.29, 377.58, 0.21, 0.18, False, False, True, False, False, True, False, 377.69, 377.69, 377.69, 377.69, 99070.44000000009, 0.0, 99070.44000000009
1667846640.361773, 377.35, 377.37, 377.37, 377.35, 0.13, 0.16, False, False, False, False, False, False, False, 377.3, 377.3, 377.3, 377.3, 98981.7100000001, 0.0, 98981.7100000001
1667847600.361773, 377.78, 377.76, 377.54, 377.78, 0.16, 0.15, False, False, True, False, False, True, False, 377.92, 377.92, 377.92, 377.92, 98981.7100000001, 0.0, 98981.7100000001
1667850180.361773, 379.7, 379.72, 379.14, 379.7, 0.66, 0.48, False, False, False, False, False, False, False, 379.62, 379.62, 379.62, 379.62, 99449.7100000001, 0.0, 99449.7100000001
1667850300.361773, 379.75, 379.74, 379.2, 379.75, 0.68, 0.48, False, False, True, False, False, True, False, 379.79, 379.79, 379.79, 379.79, 99449.7100000001, 0.0, 99449.7100000001
