time, fast, fast1, slow, tLine, macd, signalLine, longBool, shorBool, longFlag, shortFlag, enterFlag, entryFlag, exitFlag, askPrice, bidPrice, lastPrice, midPrice, portfolioValue, positionValue, cash 
1667831400.361773, 376.21, 375.96, 375.22, 376.21, 0.93, 0.71, False, False, True, False, False, True, False, 377.71, 377.71, 377.71, 377.71, 100000.0, 0.0, 100000.0
1667831460.361773, 376.51, 376.23, 375.34, 376.51, 1.11, 0.79, True, False, True, False, True, True, False, 378.11, 378.11, 378.11, 378.11, 100103.89000000001, 99442.93000000001, 660.9600000000064
1667831520.361773, 376.65, 376.44, 375.43, 376.65, 1.08, 0.79, True, False, True, False, True, True, False, 377.82, 377.82, 377.82, 377.82, 100027.62000000001, 99366.66, 660.9600000000064
1667831580.361773, 376.71, 376.55, 375.49, 376.71, 1.07, 0.78, True, False, True, False, True, True, False, 377.59, 377.59, 377.59, 377.59, 99967.13, 99306.17, 660.9600000000064
1667831640.361773, 376.75, 376.68, 375.55, 376.75, 1.02, 0.77, True, False, True, False, True, True, False, 377.13, 377.13, 377.13, 377.13, 99846.15000000001, 99185.19, 660.9600000000064
1667831700.361773, 376.85, 376.75, 375.63, 376.85, 1.04, 0.78, True, False, True, False, True, True, False, 377.4, 377.4, 377.4, 377.4, 99917.16, 99256.2, 660.9600000000064
1667831760.361773, 376.78, 376.72, 375.66, 376.78, 1.11, 0.85, True, False, True, False, True, True, False, 377.14, 377.14, 377.14, 377.14, 99848.78, 99187.81999999999, 660.9600000000064
1667831820.361773, 376.65, 376.68, 375.67, 376.65, 1.06, 0.84, False, False, True, False, True, True, True, 376.5, 376.5, 376.5, 376.5, 99680.46, 99019.5, 660.9600000000064
1667831880.361773, 376.61, 376.64, 375.7, 376.61, 1.06, 0.84, False, False, False, False, False, False, False, 376.41, 376.41, 376.41, 376.41, 99679.15000000001, 0.0, 99679.15000000001
1667831940.361773, 376.6, 376.64, 375.74, 376.6, 1.06, 0.84, False, False, False, False, False, False, False, 376.41, 376.41, 376.41, 376.41, 99679.15000000001, 0.0, 99679.15000000001
1667832000.361773, 376.65, 376.69, 375.8, 376.65, 1.07, 0.84, False, False, False, False, False, False, False, 376.58, 376.58, 376.58, 376.58, 99679.15000000001, 0.0, 99679.15000000001
