time, fast, slow, tLine, macd, signalLine, longBool, shortBool, enterFlag, entryFlag, askPrice, bidPrice, lastPrice, midPrice
1668429232.0, 398.42, 398.56, 398.42, 0.35, 0.39, False, False, False, True, 397.42, 397.37, 397.4, 397.39
1668429233.0, 398.42, 398.56, 398.42, 0.35, 0.39, False, True, True, True, 397.42, 397.37, 397.4, 397.39
1668429234.0, 398.42, 398.56, 398.42, 0.35, 0.39, False, True, True, True, 397.42, 397.38, 397.4, 397.4
1668429235.0, 398.42, 398.56, 398.42, 0.35, 0.39, False, True, True, True, 397.42, 397.38, 397.4, 397.4
1668429236.0, 398.42, 398.56, 398.42, 0.35, 0.39, False, True, True, True, 397.42, 397.38, 397.4, 397.4
1668429237.0, 398.42, 398.56, 398.42, 0.35, 0.39, False, True, True, True, 397.42, 397.38, 397.4, 397.4
1668429238.0, 398.42, 398.56, 398.42, 0.35, 0.39, False, True, True, True, 397.42, 397.38, 397.4, 397.4
1668429239.0, 398.42, 398.56, 398.42, 0.35, 0.39, False, True, True, True, 397.42, 397.38, 397.4, 397.4
1668429240.0, 398.42, 398.56, 398.42, 0.35, 0.39, False, True, True, True, 397.42, 397.38, 397.4, 397.4
1668429241.0, 398.42, 398.56, 398.42, 0.35, 0.39, False, True, True, True, 397.42, 397.38, 397.4, 397.4
1668429242.0, 398.42, 398.56, 398.42, 0.35, 0.39, False, True, True, True, 397.42, 397.38, 397.4, 397.4
1668429243.0, 398.42, 398.56, 398.42, 0.35, 0.39, False, True, True, True, 397.42, 397.38, 397.4, 397.4
1668429244.0, 398.42, 398.56, 398.42, 0.35, 0.39, False, True, True, True, 397.42, 397.38, 397.4, 397.4
1668429245.0, 398.42, 398.55, 398.42, 0.35, 0.39, False, True, True, True, 397.39, 397.38, 397.38, 397.38
1668429246.0, 398.42, 398.55, 398.42, 0.35, 0.39, False, True, True, True, 397.39, 397.38, 397.38, 397.38
1668429247.0, 398.42, 398.55, 398.42, 0.35, 0.39, False, True, True, True, 397.39, 397.38, 397.38, 397.38
1668429248.0, 398.42, 398.55, 398.42, 0.35, 0.39, False, True, True, True, 397.39, 397.38, 397.38, 397.38
1668429249.0, 398.42, 398.55, 398.42, 0.35, 0.39, False, True, True, True, 397.4, 397.38, 397.38, 397.39
1668429250.0, 398.42, 398.55, 398.42, 0.35, 0.39, False, True, True, True, 397.4, 397.38, 397.38, 397.39
1668429251.0, 398.42, 398.55, 398.42, 0.35, 0.39, False, True, True, True, 397.4, 397.38, 397.38, 397.39
1668429252.0, 398.42, 398.55, 398.42, 0.35, 0.39, False, True, True, True, 397.4, 397.38, 397.38, 397.39
1668429253.0, 398.42, 398.56, 398.42, 0.35, 0.39, False, True, True, True, 397.41, 397.38, 397.38, 397.39
1668429254.0, 398.42, 398.56, 398.42, 0.35, 0.39, False, True, True, True, 397.41, 397.38, 397.38, 397.39
1668429255.0, 398.42, 398.55, 398.42, 0.35, 0.39, False, True, True, True, 397.4, 397.38, 397.38, 397.39
1668429256.0, 398.42, 398.55, 398.42, 0.35, 0.39, False, True, True, True, 397.4, 397.38, 397.38, 397.39
1668429257.0, 398.42, 398.55, 398.42, 0.35, 0.39, False, True, True, True, 397.4, 397.38, 397.38, 397.39
1668429258.0, 398.42, 398.55, 398.42, 0.35, 0.39, False, True, True, True, 397.4, 397.38, 397.38, 397.39
1668429259.0, 398.42, 398.55, 398.42, 0.35, 0.39, False, True, True, True, 397.37, 397.33, 397.38, 397.35
1668429260.0, 398.42, 398.55, 398.42, 0.35, 0.39, False, True, True, True, 397.37, 397.33, 397.38, 397.35
1668429261.0, 398.42, 398.55, 398.42, 0.35, 0.39, False, True, True, True, 397.37, 397.34, 397.38, 397.36
1668429262.0, 398.42, 398.55, 398.42, 0.35, 0.39, False, True, True, True, 397.37, 397.34, 397.38, 397.36
1668429263.0, 398.42, 398.55, 398.42, 0.35, 0.39, False, True, True, True, 397.37, 397.34, 397.38, 397.36
1668429264.0, 398.42, 398.55, 398.42, 0.35, 0.39, False, True, True, True, 397.37, 397.34, 397.38, 397.36
1668429265.0, 398.42, 398.55, 398.42, 0.35, 0.39, False, True, True, True, 397.37, 397.34, 397.38, 397.36
1668429266.0, 398.42, 398.55, 398.42, 0.35, 0.39, False, True, True, True, 397.37, 397.34, 397.38, 397.36
1668429267.0, 398.42, 398.55, 398.42, 0.35, 0.39, False, True, True, True, 397.37, 397.34, 397.38, 397.36
1668429268.0, 398.42, 398.55, 398.42, 0.35, 0.39, False, True, True, True, 397.37, 397.34, 397.38, 397.36
1668429269.0, 398.42, 398.55, 398.42, 0.35, 0.39, False, True, True, True, 397.38, 397.34, 397.38, 397.36
1668429270.0, 398.42, 398.55, 398.42, 0.35, 0.39, False, True, True, True, 397.38, 397.35, 397.38, 397.37
1668429271.0, 398.42, 398.55, 398.42, 0.35, 0.39, False, True, True, True, 397.38, 397.35, 397.38, 397.37
1668429272.0, 398.42, 398.55, 398.42, 0.35, 0.39, False, True, True, True, 397.38, 397.35, 397.38, 397.37
1668429273.0, 398.42, 398.55, 398.42, 0.35, 0.39, False, True, True, True, 397.38, 397.35, 397.38, 397.37
1668429274.0, 398.42, 398.55, 398.42, 0.35, 0.39, False, True, True, True, 397.38, 397.35, 397.38, 397.37
1668429275.0, 398.42, 398.55, 398.42, 0.35, 0.39, False, True, True, True, 397.38, 397.35, 397.38, 397.37
1668429276.0, 398.42, 398.55, 398.42, 0.35, 0.39, False, True, True, True, 397.38, 397.35, 397.38, 397.37
1668429277.0, 398.42, 398.55, 398.42, 0.35, 0.39, False, True, True, True, 397.38, 397.35, 397.38, 397.37
1668429278.0, 398.42, 398.55, 398.42, 0.35, 0.39, False, True, True, True, 397.38, 397.35, 397.38, 397.37
1668429279.0, 398.42, 398.55, 398.42, 0.35, 0.39, False, True, True, True, 397.38, 397.35, 397.38, 397.37
1668429280.0, 398.42, 398.55, 398.42, 0.35, 0.39, False, True, True, True, 397.38, 397.35, 397.38, 397.37
1668429281.0, 398.42, 398.55, 398.42, 0.35, 0.39, False, True, True, True, 397.38, 397.35, 397.38, 397.37
1668429282.0, 398.42, 398.55, 398.42, 0.35, 0.39, False, True, True, True, 397.37, 397.35, 397.38, 397.36
1668429283.0, 398.42, 398.56, 398.42, 0.35, 0.39, False, True, True, True, 397.41, 397.36, 397.38, 397.38
1668429284.0, 398.42, 398.56, 398.42, 0.35, 0.39, False, True, True, True, 397.41, 397.38, 397.38, 397.39
1668429285.0, 398.42, 398.56, 398.42, 0.35, 0.39, False, True, True, True, 397.41, 397.38, 397.38, 397.39
1668429286.0, 398.42, 398.56, 398.42, 0.35, 0.39, False, True, True, True, 397.41, 397.38, 397.38, 397.39
1668429287.0, 398.42, 398.55, 398.42, 0.35, 0.39, False, True, True, True, 397.37, 397.36, 397.38, 397.37
1668429288.0, 398.42, 398.55, 398.42, 0.35, 0.39, False, True, True, True, 397.37, 397.36, 397.38, 397.37
1668429289.0, 398.42, 398.55, 398.42, 0.35, 0.39, False, True, True, True, 397.37, 397.36, 397.38, 397.37
1668429290.0, 398.42, 398.55, 398.42, 0.35, 0.39, False, True, True, True, 397.37, 397.36, 397.38, 397.37
1668429291.0, 398.41, 398.55, 398.41, 0.35, 0.39, False, True, True, True, 397.36, 397.32, 397.35, 397.34
1668429292.0, 398.41, 398.55, 398.41, 0.35, 0.39, False, True, True, True, 397.36, 397.32, 397.35, 397.34
1668429293.0, 398.41, 398.55, 398.41, 0.35, 0.39, False, True, True, True, 397.36, 397.32, 397.35, 397.34
1668429294.0, 398.41, 398.55, 398.41, 0.35, 0.39, False, True, True, True, 397.36, 397.32, 397.35, 397.34
1668429295.0, 398.41, 398.55, 398.41, 0.35, 0.39, False, True, True, True, 397.36, 397.33, 397.35, 397.35
1668429296.0, 398.42, 398.55, 398.42, 0.35, 0.39, False, True, True, True, 397.37, 397.34, 397.35, 397.36
1668429297.0, 398.42, 398.55, 398.42, 0.35, 0.39, False, True, True, True, 397.37, 397.33, 397.35, 397.35
1668429298.0, 398.42, 398.55, 398.42, 0.35, 0.39, False, True, True, True, 397.37, 397.33, 397.35, 397.35
1668429299.0, 398.42, 398.55, 398.42, 0.35, 0.39, False, True, True, True, 397.37, 397.33, 397.35, 397.35
1668429300.0, 398.42, 398.55, 398.42, 0.35, 0.39, False, True, True, True, 397.37, 397.33, 397.35, 397.35
1668429301.0, 398.42, 398.55, 398.42, 0.35, 0.39, False, True, True, True, 397.37, 397.33, 397.35, 397.35
