time, fast, fast1, slow, tLine, macd, signalLine, longBool, shorBool, longFlag, shortFlag, enterFlag, entryFlag, exitFlag, askPrice, bidPrice, lastPrice, midPrice, portfolioValue, positionValue, cash 
1671116400.0, 392.39, 392.51, 394.88, 392.08, -1.18, -1.12, False, False, False, False, False, False, False, 391.62, 391.59, 391.6, 391.61, 294095.58, 57637.23, 236165.35
1671116401.0, 392.37, 392.51, 394.88, 392.06, -1.18, -1.12, False, False, False, False, False, False, False, 391.5, 391.47, 391.57, 391.49, 294095.58, 57637.23, 236165.35
1671116402.0, 392.37, 392.51, 394.87, 392.05, -1.18, -1.12, False, False, False, False, False, False, False, 391.46, 391.43, 391.47, 391.44, 294095.58, 57637.23, 236165.35
1671116404.0, 392.36, 392.51, 394.87, 392.03, -1.18, -1.12, False, False, False, False, False, False, False, 391.4, 391.38, 391.43, 391.39, 294095.58, 57637.23, 236165.35
1671116405.0, 392.36, 392.51, 394.87, 392.04, -1.18, -1.12, False, False, False, False, False, False, False, 391.42, 391.41, 391.42, 391.42, 294095.58, 57637.23, 236165.35
1671116406.0, 392.25, 392.37, 394.74, 391.92, -1.18, -1.13, False, False, False, False, False, False, False, 391.46, 391.43, 391.44, 391.44, 294095.58, 57637.23, 236165.35
1671116407.0, 392.25, 392.37, 394.74, 391.93, -1.18, -1.13, False, False, False, False, False, False, False, 391.49, 391.47, 391.48, 391.48, 294095.58, 57637.23, 236165.35
1671116408.0, 392.24, 392.37, 394.74, 391.9, -1.18, -1.13, False, False, False, False, False, False, False, 391.39, 391.37, 391.4, 391.38, 294095.58, 57637.23, 236165.35
1671116410.0, 392.25, 392.37, 394.74, 391.91, -1.18, -1.13, False, False, False, False, False, False, False, 391.44, 391.41, 391.4, 391.43, 294095.58, 57637.23, 236165.35
1671116411.0, 392.25, 392.37, 394.74, 391.91, -1.19, -1.13, False, False, False, False, False, False, False, 391.43, 391.42, 391.43, 391.43, 294095.58, 57637.23, 236165.35
1671116412.0, 392.24, 392.37, 394.74, 391.9, -1.19, -1.13, False, False, False, False, False, False, False, 391.39, 391.37, 391.38, 391.38, 294095.58, 57637.23, 236165.35
1671116413.0, 392.25, 392.37, 394.74, 391.92, -1.19, -1.13, False, False, False, False, False, False, False, 391.44, 391.43, 391.43, 391.44, 294095.58, 57637.23, 236165.35
